,physiologyM.condition15_ppt.cladeClade2,physiologyM.condition15_ppt.cladeClade3,AveExpr,F,P.Value,adj.P.Val,ensembl_transcript_id,ensembl_gene_id,gene_biotype,external_gene_name
ENSFHEP00000010130,-6.77396827598383,0.260756700288157,3.64579095850553,30.3997553823957,2.55879272348948e-10,5.49321621878722e-06,ENSFHET00000016760,ENSFHEG00000011401,protein_coding,fbxo28
ENSFHEP00000029881,6.70414321214478,0.575151493472202,-2.53789884458654,21.7472452794749,3.97009003604936e-08,0.000426149464469538,ENSFHET00000020861,ENSFHEG00000014836,protein_coding,csnk1g1
ENSFHEP00000021633,0.93675642317256,6.26559994576934,3.5996693872232,17.4003455482375,6.69976067179703e-07,0.00368973092558894,ENSFHET00000014963,ENSFHEG00000001511,protein_coding,ptx3a
ENSFHEP00000023795,-6.30775407174243,-0.291694307384998,5.27514185592834,17.3621997175011,6.87484800743234e-07,0.00368973092558894,ENSFHET00000009436,ENSFHEG00000004996,protein_coding,trip11
ENSFHEP00000033808,6.57849007687627,-1.41393486769893,2.79841227247367,16.4038845231777,1.32243313303282e-06,0.00567799889998972,ENSFHET00000028450,ENSFHEG00000021167,protein_coding,tnfrsf9a
ENSFHEP00000018721,-2.3076389320409,0.810133705628922,4.55964493079698,15.120678631412,3.23594451123603e-06,0.0099241795381736,ENSFHET00000027781,ENSFHEG00000020616,protein_coding,rhbdd1
ENSFHEP00000024362,6.61062659543634,1.03606990948558,0.234296194602976,15.3377949528969,2.77695723269039e-06,0.0099241795381736,ENSFHET00000007996,ENSFHEG00000005868,protein_coding,prr18
ENSFHEP00000005755,7.1777484554007,0.759212124756817,2.21711368268479,14.7482659812543,4.21313394997517e-06,0.0113059449547584,ENSFHET00000006639,ENSFHEG00000000177,protein_coding,camk2g2
ENSFHEP00000029254,7.88148834564955,-0.329644747936586,3.31879782988856,14.3324649032825,5.66961248864191e-06,0.0135239156562405,ENSFHET00000031972,ENSFHEG00000013834,protein_coding,zgc:153184
ENSFHEP00000029061,2.48352851698889,-2.88631939951591,1.07272957232918,13.8734015220914,7.89138789251336e-06,0.0169412315276477,ENSFHET00000019285,ENSFHEG00000013563,protein_coding,
ENSFHEP00000004316,-4.60252544679727,0.0987933407419987,3.86634353300524,13.4193462206571,1.09770288940388e-05,0.0196379046914353,ENSFHET00000009072,ENSFHEG00000005226,protein_coding,si:dkey-219e21.4
ENSFHEP00000029897,-5.88852528831198,-0.272877771134901,3.86046997459149,13.4606604017248,1.06509703080227e-05,0.0196379046914353,ENSFHET00000020896,ENSFHEG00000014859,protein_coding,snx1b
ENSFHEP00000008413,5.16709068166255,-0.702998035474127,3.12056781818057,12.465564162664,2.2175578035754e-05,0.0366204084055052,ENSFHET00000002178,ENSFHEG00000009599,protein_coding,
ENSFHEP00000024251,17.3224831597304,-2.81364378063095,-1.86808252673894,12.1503788142582,2.80613017946044e-05,0.0430300019233263,ENSFHET00000008275,ENSFHEG00000005802,protein_coding,tnnt2a
ENSFHEP00000011803,-3.9863367152548,0.467614782177073,2.59993441831839,11.8313445372035,3.56671548648018e-05,0.0510468320425043,ENSFHET00000018883,ENSFHEG00000013225,protein_coding,
ENSFHEP00000032266,-3.78346931965349,3.38545415847554,-0.475029915510486,11.5887582478745,4.28482236122964e-05,0.0574916040317987,ENSFHET00000025495,ENSFHEG00000018698,protein_coding,kaznb
ENSFHEP00000032819,4.07407769051118,4.98505530099377,4.33909971711769,11.3001629076466,5.33621731006806e-05,0.067387007772083,ENSFHET00000034112,ENSFHEG00000019541,protein_coding,
ENSFHEP00000025094,7.69615387891525,7.31048028386284,3.03408659585293,11.1146672957239,6.14884840630017e-05,0.0733352653258067,ENSFHET00000006100,ENSFHEG00000007103,protein_coding,nexn
ENSFHEP00000003939,6.85953699288807,-4.7574999753228,3.36952977104599,10.759127251557,8.08095187849562e-05,0.0772484201103743,ENSFHET00000009685,ENSFHEG00000004833,protein_coding,abhd11
ENSFHEP00000008353,10.1966408790314,5.0154145718634,1.00539784736377,10.662466807244,8.70722758720501e-05,0.0772484201103743,ENSFHET00000002285,ENSFHEG00000009531,protein_coding,
ENSFHEP00000013348,3.25830134044946,-0.213259447573568,3.28385651692276,10.5209489751364,9.71542455273014e-05,0.0772484201103743,ENSFHET00000020893,ENSFHEG00000000360,protein_coding,rab11fip2
ENSFHEP00000014401,1.33874511803833,0.209238722430138,6.68201793328683,10.7665674813613,8.03470660340012e-05,0.0772484201103743,ENSFHET00000022201,ENSFHEG00000016010,protein_coding,fat1a
ENSFHEP00000016474,4.9881968470668,5.0529132904087,6.39188771263151,10.6354922797649,8.89074900334228e-05,0.0772484201103743,ENSFHET00000033609,ENSFHEG00000018165,protein_coding,ZFAND3
ENSFHEP00000018364,-2.36909968878059,2.48642481394738,3.87174125559204,10.541772149216,9.55985906114625e-05,0.0772484201103743,ENSFHET00000034345,ENSFHEG00000020239,protein_coding,tinf2
ENSFHEP00000029178,-2.3574804193737,0.726082343882546,1.2518461567203,10.5596838820284,9.42809280055895e-05,0.0772484201103743,ENSFHET00000019534,ENSFHEG00000013794,protein_coding,
ENSFHEP00000030167,7.83866751489276,-0.83884828373568,-0.902455825455707,10.9682142416698,6.87966626254412e-05,0.0772484201103743,ENSFHET00000021412,ENSFHEG00000015312,protein_coding,selenot2
ENSFHEP00000031679,4.26188592234189,0.390512235432466,2.16823168809565,10.734601417305,8.2353400172455e-05,0.0772484201103743,ENSFHET00000024348,ENSFHEG00000017733,protein_coding,
ENSFHEP00000011498,-1.2102319670532,0.136025065764735,4.00602891545976,10.4137909388056,0.00010558124677387,0.0809506502050513,ENSFHET00000018497,ENSFHEG00000012934,protein_coding,yod1
ENSFHEP00000003986,3.69169591219475,0.570159055352678,1.72457201765957,10.1294626260786,0.000131777802158532,0.0975519260944607,ENSFHET00000009617,ENSFHEG00000004880,protein_coding,zgc:109986
ENSFHEP00000021852,-3.39746240703996,0.199662118278622,4.73271121426695,10.0824982312754,0.00013670931381859,0.0978291849685827,ENSFHET00000014400,ENSFHEG00000001874,protein_coding,psmd9
ENSFHEP00000008716,3.77038408684719,0.24091483792331,4.10254570156509,9.95649544519245,0.000150899099466567,0.101234433354633,ENSFHET00000001671,ENSFHEG00000009928,protein_coding,hook2
ENSFHEP00000032751,5.00015459797139,0.371913461748285,3.6190191208645,9.97955212773507,0.000148193768681533,0.101234433354633,ENSFHET00000026398,ENSFHEG00000019435,protein_coding,FZD3
ENSFHEP00000008902,3.81771026844078,-0.286752319453648,-0.394848807551382,9.68332146972964,0.000187099006777652,0.121716408409171,ENSFHET00000001384,ENSFHEG00000010190,protein_coding,
ENSFHEP00000024506,6.06561001000956,0.075237817326545,5.24192083158697,9.57028443385838,0.000204585879820772,0.129177931411539,ENSFHET00000007609,ENSFHEG00000006117,protein_coding,
