gene	p
ENSFHEP00000010130	0.024516755883194
ENSFHEP00000029254	0.00291725411920678
ENSFHEP00000023795	0.0604972296682605
ENSFHEP00000029881	0.0484197069385418
ENSFHEP00000033808	0.000673861234570943
ENSFHEP00000032821	0.00028464563756037
ENSFHEP00000029897	0.0306703858327176
ENSFHEP00000023694	0.00206224297970592
ENSFHEP00000005755	0.0157832853609005
ENSFHEP00000008716	0.0192947547202689
ENSFHEP00000024350	0.0201487095249578
ENSFHEP00000026431	0.317651457811648
ENSFHEP00000032051	0.0166538537724734
ENSFHEP00000006170	0.0178489248061687
ENSFHEP00000017525	0.00015669327796804
ENSFHEP00000024362	0.0818633667142058
ENSFHEP00000003939	0.110180850995435
ENSFHEP00000021633	0.622015591524076
ENSFHEP00000026288	0.0178489248061687
ENSFHEP00000031961	0.000746927006005732
ENSFHEP00000024506	0.00737046488838196
ENSFHEP00000033747	0.000949625092360339
ENSFHEP00000031406	0.147731383758548
ENSFHEP00000013856	0.356992044789028
ENSFHEP00000032751	0.00995898968623752
ENSFHEP00000032266	0.0103355711525579
ENSFHEP00000016960	0.000443079271492559
ENSFHEP00000021419	0.00582730413299761
ENSFHEP00000032216	0.00417125480538713
ENSFHEP00000006605	0.310227351517354
ENSFHEP00000004316	0.0269970235380594
ENSFHEP00000026987	0.00118067776610789
ENSFHEP00000016474	0.961029073559308
ENSFHEP00000018721	0.0118604191376569
ENSFHEP00000030167	0.0537730639154078
ENSFHEP00000021852	0.0211900518129185
ENSFHEP00000026380	0.0418076965746473
ENSFHEP00000008413	0.0168845725229374
ENSFHEP00000017246	0.00170878150736547
ENSFHEP00000023743	0.00180158128996556
ENSFHEP00000011685	0.0193618000657714
ENSFHEP00000032833	5.12692884686037e-05
ENSFHEP00000018364	0.980855331202611
ENSFHEP00000032819	0.381787230325724
ENSFHEP00000017302	0.00330404751201309
ENSFHEP00000000123	0.0185402317638145
ENSFHEP00000027682	0.00841408189954625
ENSFHEP00000030732	0.717882067790614
ENSFHEP00000025094	0.572686850201887
ENSFHEP00000023867	0.736915962125201
ENSFHEP00000013579	0.00562869350540133
ENSFHEP00000005680	5.86439123357215e-05
ENSFHEP00000027726	0.68060876612506
ENSFHEP00000004017	0.00531292825718151
ENSFHEP00000006877	0.0941952000516268
ENSFHEP00000017386	0.00104043532183999
ENSFHEP00000029061	0.0247520627614349
ENSFHEP00000019783	0.000363755475276756
ENSFHEP00000027619	0.506094924696894
