gene	p
ENSFHEP00000003569	0.147069443006286
ENSFHEP00000010294	0.218925590415396
ENSFHEP00000005822	0.104095173745501
ENSFHEP00000032155	0.0962635468712256
ENSFHEP00000012384	0.000151702697536713
ENSFHEP00000017302	0.0613815211141638
ENSFHEP00000024519	0.00223129772024477
ENSFHEP00000029254	0.017553464273682
ENSFHEP00000000562	0.00571740571367054
ENSFHEP00000023958	0.0176306552460129
ENSFHEP00000031181	0.010321619866803
ENSFHEP00000034633	0.00629194471227086
ENSFHEP00000029897	0.0244284344352234
ENSFHEP00000027492	0.691537929641351
ENSFHEP00000006954	0.00274833609196372
ENSFHEP00000027519	0.0595838826490887
ENSFHEP00000032848	0.0242155769327939
ENSFHEP00000015458	0.00586110845172916
ENSFHEP00000017380	0.00483995872694554
ENSFHEP00000008455	0.0259550863638044
ENSFHEP00000009642	0.000786169652525319
ENSFHEP00000006769	0.00114924393253455
ENSFHEP00000003387	0.00252361264298159
ENSFHEP00000012626	0.00106782150155878
ENSFHEP00000027109	0.000628838066562157
ENSFHEP00000031652	0.0294858769728507
ENSFHEP00000020559	0.0315182259982384
ENSFHEP00000025116	0.00402017942318541
ENSFHEP00000032279	0.0795296390977263
ENSFHEP00000003607	0.0409382750863076
ENSFHEP00000005604	0.00449163053218175
ENSFHEP00000019010	0.00175391070661435
ENSFHEP00000026935	0.0088600772710373
ENSFHEP00000029405	0.0025346309190335
ENSFHEP00000034072	0.0667322025513158
ENSFHEP00000001698	0.00227523202109927
ENSFHEP00000012312	0.100936168502194
ENSFHEP00000031729	0.00108067304241886
ENSFHEP00000034306	0.000874020325905917
ENSFHEP00000032040	5.7639394618163e-05
ENSFHEP00000014646	0.0203176107681033
ENSFHEP00000011526	0.0158889718089149
ENSFHEP00000016421	0.000118128265700107
ENSFHEP00000015003	0.149740987190651
ENSFHEP00000029181	0.00872610236816443
ENSFHEP00000034395	0.000595658625439415
ENSFHEP00000010268	0.12775542884045
ENSFHEP00000033572	0.947612275342818
ENSFHEP00000007119	0.823484813775032
ENSFHEP00000010130	0.0531238962628906
ENSFHEP00000011747	0.00297205678664983
ENSFHEP00000014130	0.031205620774102
ENSFHEP00000025416	0.011395977908187
ENSFHEP00000030403	0.000929636904157659
ENSFHEP00000010136	0.00162552293023074
ENSFHEP00000011422	0.0900444712185223
ENSFHEP00000007273	0.000341502694100198
ENSFHEP00000005433	0.000801117910072527
ENSFHEP00000023799	0.0354821758709205
ENSFHEP00000024506	0.00779914113900919
ENSFHEP00000017334	0.00353356205614701
ENSFHEP00000028634	0.00920281945269751
ENSFHEP00000033042	0.00398637215548016
