condition	physiology	clade	species	sample
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_1.quant
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_2.quant
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_3.quant
transfer	FW	Clade1	F_rathbuni	F_rathbuni_transfer_1.quant
transfer	FW	Clade1	F_rathbuni	F_rathbuni_transfer_2.quant
transfer	FW	Clade1	F_rathbuni	F_rathbuni_transfer_3.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_1.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_2.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_3.quant
transfer	M	Clade1	F_grandis	F_grandis_transfer_1.quant
transfer	M	Clade1	F_grandis	F_grandis_transfer_2.quant
transfer	M	Clade1	F_grandis	F_grandis_transfer_3.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_1.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_2.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_3.quant
transfer	FW	Clade3	F_notatus	F_notatus_transfer_1.quant
transfer	FW	Clade3	F_notatus	F_notatus_transfer_2.quant
transfer	FW	Clade3	F_notatus	F_notatus_transfer_3.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_1.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_2.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_3.quant
transfer	M	Clade2	F_parvapinis	F_parvapinis_transfer_1.quant
transfer	M	Clade2	F_parvapinis	F_parvapinis_transfer_2.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_1.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_2.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_3.quant
transfer	FW	Clade2	L_goodei	L_goodei_transfer_1.quant
transfer	FW	Clade2	L_goodei	L_goodei_transfer_2.quant
transfer	FW	Clade2	L_goodei	L_goodei_transfer_3.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_1.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_2.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_3.quant
transfer	FW	Clade3	F_olivaceous	F_olivaceous_transfer_1.quant
transfer	FW	Clade3	F_olivaceous	F_olivaceous_transfer_2.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_1.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_2.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_3.quant
transfer	M	Clade2	L_parva	L_parva_transfer_1.quant
transfer	M	Clade2	L_parva	L_parva_transfer_2.quant
transfer	M	Clade2	L_parva	L_parva_transfer_3.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_1.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_2.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_3.quant
transfer	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_transfer_1.quant
transfer	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_transfer_2.quant
transfer	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_transfer_3.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_1.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_2.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_3.quant
transfer	M	Clade3	F_similis	F_similis_transfer_1.quant
transfer	M	Clade3	F_similis	F_similis_transfer_2.quant
transfer	M	Clade3	F_similis	F_similis_transfer_3.quant
0.2_ppt	M	Clade1	F_diaphanus	F_diaphanus_FW_2.quant
0.2_ppt	M	Clade1	F_diaphanus	F_diaphanus_FW_3.quant
transfer	M	Clade1	F_diaphanus	F_diaphanus_transfer_1.quant
transfer	M	Clade1	F_diaphanus	F_diaphanus_transfer_2.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_1.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_2.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_3.quant
transfer	M	Clade3	F_chrysotus	F_chrysotus_transfer_1.quant
transfer	M	Clade3	F_chrysotus	F_chrysotus_transfer_2.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_1.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_2.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_3.quant
transfer	M	Clade3	A_xenica	A_xenica_transfer_1.quant
transfer	M	Clade3	A_xenica	A_xenica_transfer_2.quant
transfer	M	Clade3	A_xenica	A_xenica_transfer_3.quant
0.2_ppt	FW	Clade1	F_catanatus	F_catanatus_FW_1.quant
0.2_ppt	FW	Clade1	F_catanatus	F_catanatus_FW_2.quant
transfer	FW	Clade1	F_catanatus	F_catanatus_transfer_1.quant
transfer	FW	Clade1	F_catanatus	F_catanatus_transfer_2.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_FW_1.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_FW_2.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_FW_3.quant
transfer	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_transfer_1.quant
transfer	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_transfer_2.quant
transfer	M	Clade1	F_heteroclitusMDPL	F_heteroclitusMDPL_transfer_3.quant
