condition	physiology	clade	species	sample
15_ppt	FW	Clade1	F_rathbuni	F_rathbuni_BW_1.quant
15_ppt	FW	Clade1	F_rathbuni	F_rathbuni_BW_2.quant
15_ppt	FW	Clade1	F_rathbuni	F_rathbuni_BW_3.quant
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_1.quant
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_2.quant
0.2_ppt	FW	Clade1	F_rathbuni	F_rathbuni_FW_3.quant
15_ppt	M	Clade1	F_grandis	F_grandis_BW_1.quant
15_ppt	M	Clade1	F_grandis	F_grandis_BW_2.quant
15_ppt	M	Clade1	F_grandis	F_grandis_BW_3.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_1.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_2.quant
0.2_ppt	M	Clade1	F_grandis	F_grandis_FW_3.quant
15_ppt	FW	Clade3	F_notatus	F_notatus_BW_1.quant
15_ppt	FW	Clade3	F_notatus	F_notatus_BW_2.quant
15_ppt	FW	Clade3	F_notatus	F_notatus_BW_3.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_1.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_2.quant
0.2_ppt	FW	Clade3	F_notatus	F_notatus_FW_3.quant
15_ppt	M	Clade2	F_parvapinis	F_parvapinis_BW_1.quant
15_ppt	M	Clade2	F_parvapinis	F_parvapinis_BW_2.quant
15_ppt	M	Clade2	F_parvapinis	F_parvapinis_BW_3.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_1.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_2.quant
0.2_ppt	M	Clade2	F_parvapinis	F_parvapinis_FW_3.quant
15_ppt	FW	Clade2	L_goodei	L_goodei_BW_1.quant
15_ppt	FW	Clade2	L_goodei	L_goodei_BW_2.quant
15_ppt	FW	Clade2	L_goodei	L_goodei_BW_3.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_1.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_2.quant
0.2_ppt	FW	Clade2	L_goodei	L_goodei_FW_3.quant
15_ppt	FW	Clade3	F_olivaceous	F_olivaceous_BW_1.quant
15_ppt	FW	Clade3	F_olivaceous	F_olivaceous_BW_2.quant
15_ppt	FW	Clade3	F_olivaceous	F_olivaceous_BW_3.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_1.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_2.quant
0.2_ppt	FW	Clade3	F_olivaceous	F_olivaceous_FW_3.quant
15_ppt	M	Clade2	L_parva	L_parva_BW_1.quant
15_ppt	M	Clade2	L_parva	L_parva_BW_2.quant
15_ppt	M	Clade2	L_parva	L_parva_BW_3.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_1.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_2.quant
0.2_ppt	M	Clade2	L_parva	L_parva_FW_3.quant
15_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_BW_1.quant
15_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_BW_2.quant
15_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_BW_3.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_1.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_2.quant
0.2_ppt	M	Clade1	F_heteroclitusMDPP	F_heteroclitusMDPP_FW_3.quant
15_ppt	M	Clade3	F_similis	F_similis_BW_1.quant
15_ppt	M	Clade3	F_similis	F_similis_BW_2.quant
15_ppt	M	Clade3	F_similis	F_similis_BW_3.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_1.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_2.quant
0.2_ppt	M	Clade3	F_similis	F_similis_FW_3.quant
15_ppt	M	Clade1	F_diaphanus	F_diaphanus_BW_1.quant
15_ppt	M	Clade1	F_diaphanus	F_diaphanus_BW_2.quant
0.2_ppt	M	Clade1	F_diaphanus	F_diaphanus_FW_2.quant
0.2_ppt	M	Clade1	F_diaphanus	F_diaphanus_FW_3.quant
15_ppt	M	Clade3	F_chrysotus	F_chrysotus_BW_1.quant
15_ppt	M	Clade3	F_chrysotus	F_chrysotus_BW_2.quant
15_ppt	M	Clade3	F_chrysotus	F_chrysotus_BW_3.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_1.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_2.quant
0.2_ppt	M	Clade3	F_chrysotus	F_chrysotus_FW_3.quant
15_ppt	M	Clade3	A_xenica	A_xenica_BW_1.quant
15_ppt	M	Clade3	A_xenica	A_xenica_BW_2.quant
15_ppt	M	Clade3	A_xenica	A_xenica_BW_3.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_1.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_2.quant
0.2_ppt	M	Clade3	A_xenica	A_xenica_FW_3.quant
15_ppt	FW	Clade1	F_catanatus	F_catanatus_BW_1.quant
15_ppt	FW	Clade1	F_catanatus	F_catanatus_BW_2.quant
15_ppt	FW	Clade1	F_catanatus	F_catanatus_BW_3.quant
0.2_ppt	FW	Clade1	F_catanatus	F_catanatus_FW_1.quant
0.2_ppt	FW	Clade1	F_catanatus	F_catanatus_FW_2.quant
